"trial_num","trial_num_in_block","Initiation.Time","participant_num"
1,1,0.911111111111111,"40"
2,2,0.566666666666667,"40"
3,3,0.422222222222222,"40"
4,4,0.477777777777778,"40"
5,5,0.277777777777778,"40"
6,6,0.311111111111111,"40"
7,7,0.377777777777778,"40"
8,8,0.355555555555556,"40"
9,9,0.288888888888889,"40"
10,10,0.277777777777778,"40"
11,11,0.322222222222222,"40"
12,12,0.344444444444444,"40"
13,13,0.3,"40"
14,14,0.266666666666667,"40"
15,15,0.288888888888889,"40"
16,16,0.288888888888889,"40"
17,1,1.27777777777778,"40"
18,2,0.444444444444444,"40"
19,3,0.788888888888889,"40"
20,4,0.577777777777778,"40"
21,5,0.377777777777778,"40"
22,6,0.666666666666667,"40"
23,7,0.644444444444444,"40"
24,8,0.544444444444444,"40"
25,9,0.588888888888889,"40"
26,10,0.388888888888889,"40"
27,11,0.522222222222222,"40"
28,12,0.6,"40"
29,13,0.566666666666667,"40"
30,14,0.444444444444444,"40"
31,15,0.566666666666667,"40"
32,16,0.544444444444444,"40"
33,17,0.633333333333333,"40"
34,18,0.444444444444444,"40"
35,19,0.533333333333333,"40"
36,20,0.488888888888889,"40"
37,21,0.5,"40"
38,22,0.477777777777778,"40"
39,23,0.6,"40"
40,24,0.488888888888889,"40"
41,25,0.455555555555556,"40"
42,26,0.533333333333333,"40"
43,27,0.488888888888889,"40"
44,28,0.622222222222222,"40"
45,1,0.722222222222222,"40"
46,2,0.455555555555556,"40"
47,3,0.322222222222222,"40"
48,4,0.7,"40"
49,5,0.444444444444444,"40"
50,6,0.5,"40"
51,7,0.633333333333333,"40"
52,8,0.466666666666667,"40"
53,9,0.322222222222222,"40"
54,10,0.444444444444444,"40"
55,11,0.6,"40"
56,12,0.433333333333333,"40"
57,13,0.4,"40"
58,14,0.5,"40"
59,15,0.355555555555556,"40"
60,16,0.344444444444444,"40"
61,17,0.422222222222222,"40"
62,18,0.444444444444444,"40"
63,19,0.311111111111111,"40"
64,20,0.355555555555556,"40"
65,21,0.511111111111111,"40"
66,22,0.433333333333333,"40"
67,23,0.5,"40"
68,24,0.477777777777778,"40"
69,25,0.422222222222222,"40"
70,26,0.466666666666667,"40"
71,27,0.411111111111111,"40"
72,28,0.422222222222222,"40"
73,29,0.355555555555556,"40"
74,30,0.544444444444444,"40"
75,31,0.444444444444444,"40"
76,32,0.533333333333333,"40"
77,33,0.4,"40"
78,34,0.477777777777778,"40"
79,35,0.466666666666667,"40"
80,36,0.411111111111111,"40"
81,37,0.344444444444444,"40"
82,38,0.377777777777778,"40"
83,39,0.288888888888889,"40"
84,40,0.488888888888889,"40"
85,1,0.6,"40"
86,2,0.455555555555556,"40"
87,3,0.466666666666667,"40"
88,4,0.377777777777778,"40"
89,5,0.555555555555556,"40"
90,6,0.488888888888889,"40"
91,7,0.455555555555556,"40"
92,8,0.444444444444444,"40"
93,9,0.455555555555556,"40"
94,10,0.588888888888889,"40"
95,11,0.688888888888889,"40"
96,12,0.555555555555556,"40"
97,13,0.477777777777778,"40"
98,14,0.522222222222222,"40"
99,15,0.566666666666667,"40"
