"trial_num","trial_num_in_block","Initiation.Time","participant_num"
1,1,10.4333333333333,"27"
2,2,0.755555555555556,"27"
3,3,0.477777777777778,"27"
4,4,0.455555555555556,"27"
5,5,0.366666666666667,"27"
6,6,0.3,"27"
7,7,0.344444444444444,"27"
8,8,0.377777777777778,"27"
9,9,0.288888888888889,"27"
10,10,0.288888888888889,"27"
11,11,0.311111111111111,"27"
12,12,0.288888888888889,"27"
13,13,0.266666666666667,"27"
14,14,0.255555555555556,"27"
15,15,0.233333333333333,"27"
16,16,0.388888888888889,"27"
17,1,0.6,"27"
18,2,0.522222222222222,"27"
19,3,0.433333333333333,"27"
20,4,0.4,"27"
21,5,0.888888888888889,"27"
22,6,0.811111111111111,"27"
23,7,0.844444444444444,"27"
24,8,0.833333333333333,"27"
25,9,0.344444444444444,"27"
26,10,0.755555555555556,"27"
27,11,0.544444444444444,"27"
28,12,0.622222222222222,"27"
29,13,0.577777777777778,"27"
30,14,0.433333333333333,"27"
31,15,0.622222222222222,"27"
32,16,0.622222222222222,"27"
33,17,0.555555555555556,"27"
34,18,0.577777777777778,"27"
35,19,0.433333333333333,"27"
36,20,0.744444444444444,"27"
37,21,0.677777777777778,"27"
38,22,0.611111111111111,"27"
39,23,0.6,"27"
40,24,0.7,"27"
41,25,0.622222222222222,"27"
42,26,0.6,"27"
43,27,0.711111111111111,"27"
44,28,0.755555555555556,"27"
45,1,0.788888888888889,"27"
46,2,0.566666666666667,"27"
47,3,0.633333333333333,"27"
48,4,0.633333333333333,"27"
49,5,0.666666666666667,"27"
50,6,0.666666666666667,"27"
51,7,0.755555555555556,"27"
52,8,0.511111111111111,"27"
53,9,0.622222222222222,"27"
54,10,0.488888888888889,"27"
55,11,0.566666666666667,"27"
56,12,0.533333333333333,"27"
57,13,0.644444444444444,"27"
58,14,0.633333333333333,"27"
59,15,0.544444444444444,"27"
60,16,0.655555555555556,"27"
61,17,0.5,"27"
62,18,0.622222222222222,"27"
63,19,0.622222222222222,"27"
64,20,0.755555555555556,"27"
65,21,0.544444444444444,"27"
66,22,0.622222222222222,"27"
67,23,0.677777777777778,"27"
68,24,0.744444444444444,"27"
69,25,0.633333333333333,"27"
70,26,0.622222222222222,"27"
71,27,0.544444444444444,"27"
72,28,0.711111111111111,"27"
73,29,0.588888888888889,"27"
74,30,0.7,"27"
75,31,1,"27"
76,32,0.522222222222222,"27"
77,33,0.622222222222222,"27"
78,34,0.633333333333333,"27"
79,35,0.5,"27"
80,36,0.688888888888889,"27"
81,37,0.411111111111111,"27"
82,38,0.577777777777778,"27"
83,39,0.455555555555556,"27"
84,40,0.655555555555556,"27"
85,1,0.666666666666667,"27"
86,2,0.566666666666667,"27"
87,3,0.677777777777778,"27"
88,4,0.666666666666667,"27"
89,5,0.577777777777778,"27"
90,6,0.566666666666667,"27"
91,7,0.488888888888889,"27"
92,8,0.622222222222222,"27"
93,9,0.5,"27"
94,10,0.444444444444444,"27"
95,11,0.533333333333333,"27"
96,12,0.7,"27"
97,13,0.622222222222222,"27"
98,14,0.711111111111111,"27"
99,15,0.455555555555556,"27"
100,16,0.644444444444444,"27"
101,17,0.566666666666667,"27"
102,18,0.533333333333333,"27"
103,19,0.6,"27"
104,20,0.6,"27"
105,21,0.533333333333333,"27"
106,22,0.544444444444444,"27"
107,23,0.522222222222222,"27"
108,24,0.544444444444444,"27"
109,25,0.611111111111111,"27"
110,26,0.588888888888889,"27"
111,27,0.622222222222222,"27"
112,28,0.6,"27"
113,29,0.555555555555556,"27"
114,30,0.622222222222222,"27"
115,31,0.455555555555556,"27"
116,32,0.488888888888889,"27"
117,33,0.611111111111111,"27"
118,34,0.566666666666667,"27"
119,35,0.344444444444444,"27"
120,36,0.6,"27"
121,37,0.466666666666667,"27"
122,38,0.433333333333333,"27"
123,39,0.533333333333333,"27"
124,40,0.544444444444444,"27"
125,1,0.466666666666667,"27"
126,2,0.566666666666667,"27"
127,3,0.5,"27"
128,4,0.311111111111111,"27"
129,5,0.577777777777778,"27"
130,6,0.433333333333333,"27"
131,7,0.611111111111111,"27"
132,8,0.355555555555556,"27"
133,9,0.4,"27"
134,10,0.655555555555556,"27"
135,11,0.711111111111111,"27"
136,12,0.622222222222222,"27"
137,13,0.622222222222222,"27"
138,14,0.6,"27"
139,15,0.566666666666667,"27"
140,16,0.455555555555556,"27"
141,17,0.477777777777778,"27"
142,18,0.644444444444444,"27"
143,19,0.555555555555556,"27"
144,20,0.6,"27"
145,21,0.522222222222222,"27"
146,22,0.566666666666667,"27"
147,23,0.544444444444444,"27"
148,24,0.477777777777778,"27"
149,25,0.422222222222222,"27"
150,26,0.344444444444444,"27"
151,27,0.311111111111111,"27"
152,28,0.344444444444444,"27"
153,29,0.566666666666667,"27"
154,30,0.5,"27"
155,31,0.5,"27"
156,32,0.388888888888889,"27"
157,33,0.411111111111111,"27"
158,34,0.544444444444444,"27"
159,35,0.577777777777778,"27"
160,36,0.511111111111111,"27"
161,37,0.422222222222222,"27"
162,38,0.311111111111111,"27"
163,39,0.555555555555556,"27"
164,40,0.5,"27"
165,1,0.555555555555556,"27"
166,2,0.355555555555556,"27"
167,3,0.544444444444444,"27"
168,4,0.511111111111111,"27"
169,5,0.588888888888889,"27"
170,6,0.644444444444444,"27"
171,7,0.655555555555556,"27"
172,8,0.466666666666667,"27"
